Anno,Temperatura globale
1900,13.76
1901,13.71
1902,13.57
1903,13.48
1904,13.36
1905,13.57
1906,13.62
1907,13.47
1908,13.42
1909,13.38
1910,13.45
1911,13.39
1912,13.50
1913,13.47
1914,13.61
1915,13.71
1916,13.51
1917,13.51
1918,13.69
1919,13.65
1920,13.54
1921,13.61
1922,13.58
1923,13.58
1924,13.61
1925,13.64
1926,13.71
1927,13.67
1928,13.68
1929,13.53
1930,13.74
1931,13.78
1932,13.70
1933,13.56
1934,13.71
1935,13.64
1936,13.69
1937,13.83
1938,13.81
1939,13.82
1940,13.80
1941,13.92
1942,13.99
1943,13.91
1944,13.83
1945,13.74
1946,13.79
1947,13.74
1948,13.74
1949,13.76
1950,13.73
1951,13.83
1952,13.78
1953,13.79
1954,13.72
1955,13.72
1956,13.73
1957,13.82
1958,13.92
1959,13.93
1960,13.88
1961,13.96
1962,13.93
1963,13.88
1964,13.66
1965,13.71
1966,13.74
1967,13.83
1968,13.80
1969,13.92
1970,13.90
1971,13.90
1972,13.91
1973,13.88
1974,13.68
1975,13.78
1976,13.64
1977,13.93
1978,13.87
1979,13.96
1980,14.06
1981,14.07
1982,13.94
1983,14.12
1984,13.96
1985,13.89
1986,13.95
1987,14.11
1988,14.14
1989,14.03
1990,14.24
1991,14.21
1992,14.05
1993,13.98
1994,14.06
1995,14.39
1996,14.25
1997,14.44
1998,14.54
1999,14.27
2000,14.29
2001,14.44
2002,14.46
2003,14.50
2004,14.45
2005,14.49
2006,14.56
2007,14.55
2008,14.44
2009,14.57
2010,14.66
2011,14.54
2012,14.57
2013,14.59
2014,14.74
2015,14.89
2016,14.92
2017,14.82
2018,14.86
2019,14.98
2020,14.88
2021,14.95
2022,15.02
2023,15.06
2024,15.15